iter	Passed	Remaining
444	1175	1465
445	1179	1465
446	1183	1464
447	1185	1460
448	1187	1456
449	1189	1453
450	1191	1450
451	1193	1446
452	1195	1443
453	1198	1440
454	1200	1437
455	1202	1434
456	1204	1430
457	1206	1427
458	1208	1424
459	1210	1421
460	1213	1418
461	1215	1415
462	1217	1411
463	1219	1408
464	1222	1405
465	1223	1402
466	1225	1399
467	1227	1395
468	1230	1392
469	1232	1389
470	1234	1386
471	1236	1383
472	1238	1380
473	1240	1376
474	1242	1373
475	1244	1370
476	1247	1367
477	1249	1364
478	1252	1361
479	1254	1358
480	1257	1356
481	1262	1356
482	1265	1354
483	1267	1351
484	1269	1348
485	1272	1345
486	1275	1343
487	1277	1339
488	1279	1336
489	1281	1333
490	1283	1330
491	1285	1327
492	1290	1326
493	1293	1324
494	1295	1321
495	1297	1318
496	1299	1314
497	1302	1313
498	1304	1309
499	1306	1306
500	1309	1304
501	1312	1301
502	1314	1298
503	1318	1297
504	1320	1293
505	1322	1290
506	1323	1287
507	1326	1284
508	1328	1281
509	1330	1278
510	1332	1275
511	1336	1273
512	1338	1270
513	1341	1268
514	1344	1266
515	1350	1266
516	1353	1264
517	1355	1261
518	1359	1259
519	1362	1257
520	1364	1254
521	1366	1251
522	1368	1247
523	1370	1244
524	1373	1242
525	1375	1239
526	1378	1237
527	1380	1234
528	1382	1230
529	1384	1228
530	1386	1224
531	1388	1221
532	1390	1218
533	1393	1216
534	1395	1213
535	1397	1210
536	1400	1207
537	1402	1204
538	1404	1201
539	1406	1198
540	1409	1195
541	1411	1193
542	1413	1189
543	1415	1186
544	1417	1183
545	1419	1180
546	1421	1177
547	1424	1174
548	1426	1171
549	1428	1168
550	1430	1165
551	1433	1163
552	1435	1160
553	1437	1157
554	1439	1154
555	1441	1151
556	1443	1148
557	1445	1145
558	1448	1142
559	1450	1139
560	1452	1136
561	1454	1133
562	1456	1130
563	1458	1127
564	1460	1124
565	1462	1121
566	1464	1118
567	1466	1115
568	1468	1112
569	1470	1109
570	1472	1106
571	1475	1103
572	1477	1100
573	1479	1098
574	1481	1095
575	1483	1092
576	1485	1089
577	1488	1086
578	1489	1083
579	1491	1080
580	1494	1077
581	1496	1075
582	1499	1072
583	1501	1069
584	1503	1066
585	1505	1063
586	1507	1060
587	1509	1057
588	1511	1054
589	1513	1051
590	1515	1048
591	1517	1045
592	1519	1042
593	1521	1040
594	1523	1037
595	1525	1034
596	1528	1031
597	1530	1028
598	1532	1025
599	1534	1023
600	1537	1020
601	1539	1017
602	1541	1014
603	1543	1012
604	1545	1009
605	1547	1006
606	1549	1003
607	1551	1000
608	1554	997
609	1556	995
610	1558	992
611	1560	989
612	1561	986
613	1564	983
614	1566	980
615	1568	977
616	1570	974
617	1572	972
618	1574	969
619	1576	966
620	1579	964
621	1581	961
622	1583	958
623	1585	955
624	1587	952
625	1589	949
626	1591	946
627	1593	943
628	1595	941
629	1598	938
630	1600	935
631	1602	932
632	1604	930
633	1606	927
634	1608	924
635	1611	922
636	1613	919
637	1615	916
638	1617	913
639	1619	911
640	1621	908
641	1623	905
642	1626	902
643	1628	900
644	1631	897
645	1633	895
646	1635	892
647	1637	889
648	1638	886
649	1640	883
650	1643	881
651	1646	878
652	1648	875
653	1650	873
654	1652	870
655	1654	867
656	1656	864
657	1659	862
658	1661	859
659	1663	856
660	1664	853
661	1667	851
662	1669	848
663	1671	845
664	1673	843
665	1675	840
666	1681	839
667	1684	837
668	1686	834
669	1688	831
670	1690	828
671	1692	825
672	1694	823
673	1697	820
674	1698	818
675	1701	815
676	1703	812
677	1705	809
678	1707	807
679	1710	804
680	1712	802
681	1714	799
682	1716	796
683	1718	794
684	1720	791
685	1723	788
686	1725	786
687	1727	783
688	1729	780
689	1731	777
690	1733	775
691	1736	772
692	1738	770
693	1740	767
694	1742	764
695	1744	762
696	1746	759
697	1749	756
698	1752	754
699	1754	751
700	1756	749
701	1758	746
702	1760	743
703	1763	741
704	1765	738
705	1766	735
706	1769	733
707	1771	730
708	1773	727
709	1774	724
710	1777	722
711	1779	719
712	1781	717
713	1783	714
714	1785	711
715	1787	709
716	1789	706
717	1792	703
718	1794	701
719	1796	698
720	1798	695
721	1800	693
722	1802	690
723	1804	687
724	1807	685
725	1809	683
726	1811	680
727	1813	677
728	1816	675
729	1818	672
730	1820	669
731	1822	667
732	1825	664
733	1828	662
734	1830	659
735	1832	657
736	1834	654
737	1836	651
738	1840	649
739	1842	647
740	1844	644
741	1847	642
742	1849	639
743	1852	637
744	1855	635
745	1858	632
746	1860	630
747	1862	627
748	1865	625
749	1868	622
750	1871	620
751	1873	617
